ORF_ID,Original_Score,Modified_Score,Length,Status
NZ_CP009187.1_1187997,269.9653,449.9421,396,TP
NZ_CP009187.1_1201716,1210.3002,2017.1669,1395,TP
NZ_CP009187.1_1203312,307.1751,511.9585,723,TP
NZ_CP009187.1_1206519,679.6448,1132.7413,867,TP
NZ_CP009187.1_1207635,2136.7188,3561.1978,2022,TP
NZ_CP009187.1_1224384,484.0441,806.7402,876,TP
NZ_CP009187.1_1242702,69.5193,115.8654,210,TP
NZ_CP009187.1_1248081,638.1498,1063.5830,1245,TP
NZ_CP009187.1_1257324,1568.9736,2614.9561,1731,TP
NZ_CP009187.1_1282029,50.5996,84.3327,189,TP
NZ_CP009187.1_1282305,326.2693,543.7822,588,TP
NZ_CP009187.1_1287327,4294.7822,7157.9702,3699,TP
NZ_CP009187.1_1293405,506.7148,844.5247,741,TP
NZ_CP009187.1_1302930,2974.0034,4956.6724,2571,TP
NZ_CP009187.1_1313724,5824.3262,9707.2100,6258,TP
NZ_CP009187.1_1339002,94.3971,157.3286,300,TP
NZ_CP009187.1_1340658,178.9145,298.1908,297,TP
NZ_CP009187.1_1342941,758.5818,1264.3030,1278,TP
NZ_CP009187.1_1349331,1787.9558,2979.9263,1794,TP
NZ_CP009187.1_1353156,250.5760,417.6267,369,TP
NZ_CP009187.1_1354302,74.7788,124.6313,168,TP
NZ_CP009187.1_1355835,1106.3281,1843.8801,1215,TP
NZ_CP009187.1_1364412,443.6840,739.4733,774,TP
NZ_CP009187.1_1370919,293.4147,489.0244,558,TP
NZ_CP009187.1_1378926,688.1077,1146.8461,924,TP
NZ_CP009187.1_1394178,1342.7362,2237.8936,1740,TP
NZ_CP009187.1_1401657,824.7017,1374.5027,1152,TP
NZ_CP009187.1_1408239,1043.1490,1738.5817,1119,TP
NZ_CP009187.1_1411893,1019.0086,1698.3477,1194,TP
NZ_CP009187.1_1424196,264.4222,440.7037,558,TP
NZ_CP009187.1_1430061,1224.0491,2040.0818,1587,TP
NZ_CP009187.1_1440804,312.9949,521.6581,486,TP
NZ_CP009187.1_1441347,1531.2032,2552.0054,1371,TP
NZ_CP009187.1_1442766,300.6397,501.0661,633,TP
NZ_CP009187.1_1446378,1879.9663,3133.2771,1653,TP
NZ_CP009187.1_1453203,2852.5500,4754.2500,1809,TP
NZ_CP009187.1_1455162,104.4630,174.1050,243,TP
NZ_CP009187.1_1467687,149.1440,248.5733,444,TP
NZ_CP009187.1_1487160,564.0208,940.0345,915,TP
NZ_CP009187.1_1500660,168.1879,280.3131,306,TP
NZ_CP009187.1_1502640,223.6569,372.7614,441,TP
NZ_CP009187.1_1503102,174.8770,291.4616,282,TP
NZ_CP009187.1_1503393,877.8110,1463.0183,972,TP
NZ_CP009187.1_1505961,269.5943,449.3238,777,TP
NZ_CP009187.1_1509033,240.1210,400.2016,255,TP
NZ_CP009187.1_1510845,880.4037,1467.3396,1161,TP
NZ_CP009187.1_1517490,432.2306,720.3843,744,TP
NZ_CP009187.1_1518762,140.1334,233.5557,372,TP
NZ_CP009187.1_1531347,614.1819,1023.6365,1023,TP
NZ_CP009187.1_1541019,527.7835,879.6392,786,TP
NZ_CP009187.1_1546011,630.9309,1051.5515,981,TP
NZ_CP009187.1_1552653,441.5221,735.8701,582,TP
NZ_CP009187.1_1555476,371.6127,619.3546,498,TP
NZ_CP009187.1_1560444,617.9184,1029.8640,825,TP
NZ_CP009187.1_1563948,319.3676,532.2794,318,TP
NZ_CP009187.1_1571046,701.3082,1168.8470,1035,TP
NZ_CP009187.1_1583100,978.5322,1630.8870,1374,TP
NZ_CP009187.1_1588566,460.0850,766.8083,606,TP
NZ_CP009187.1_1590396,1159.2485,1932.0808,1278,TP
NZ_CP009187.1_1593504,195.8811,326.4684,474,TP
NZ_CP009187.1_1594041,1455.0099,2425.0164,1941,TP
NZ_CP009187.1_1597905,1003.2418,1672.0696,978,TP
NZ_CP009187.1_1599657,1305.2103,2175.3506,1380,TP
NZ_CP009187.1_1604877,884.4910,1474.1516,1269,TP
NZ_CP009187.1_1609848,1203.0883,2005.1471,1422,TP
NZ_CP009187.1_1615563,682.8928,1138.1545,786,TP
NZ_CP009187.1_1619790,1758.6674,2931.1123,2301,TP
NZ_CP009187.1_1640679,406.2608,677.1014,864,TP
NZ_CP009187.1_1646988,3034.2151,5057.0249,2541,TP
NZ_CP009187.1_1658979,193.7189,322.8649,375,TP
NZ_CP009187.1_1659369,301.6791,502.7985,372,TP
NZ_CP009187.1_1659762,459.6584,766.0974,858,TP
NZ_CP009187.1_1666203,339.4073,565.6788,561,TP
NZ_CP009187.1_1666989,1133.6191,1889.3652,1419,TP
NZ_CP009187.1_1670412,594.5060,990.8433,954,TP
NZ_CP009187.1_1673439,515.7148,859.5247,744,TP
NZ_CP009187.1_1674201,774.2341,1290.3901,810,TP
NZ_CP009187.1_1676940,413.9882,689.9803,435,TP
NZ_CP009187.1_1677396,1139.2849,1898.8081,1146,TP
NZ_CP009187.1_1678551,142.7341,237.8902,357,TP
NZ_CP009187.1_1686270,126.9961,211.6602,303,TP
NZ_CP009187.1_1691889,302.2667,503.7778,822,TP
NZ_CP009187.1_1697355,54.8704,91.4507,504,TP
NZ_CP009187.1_1701294,1242.0647,2070.1077,1299,TP
NZ_CP009187.1_1703073,814.5970,1357.6617,1023,TP
NZ_CP009187.1_1709643,400.1424,666.9040,960,TP
NZ_CP009187.1_1712301,1660.5328,2767.5547,1752,TP
NZ_CP009187.1_1731372,698.9878,1164.9796,1104,TP
NZ_CP009187.1_1742844,678.0103,1130.0172,927,TP
NZ_CP009187.1_1746093,514.1572,856.9287,804,TP
NZ_CP009187.1_1747194,205.8250,343.0416,432,TP
NZ_CP009187.1_1755444,1762.7515,2937.9189,1866,TP
NZ_CP009187.1_1759434,445.5399,742.5664,744,TP
NZ_CP009187.1_1763427,971.7424,1619.5706,1290,TP
NZ_CP009187.1_1764978,168.0032,280.0054,405,TP
NZ_CP009187.1_1775391,1131.1184,1885.1973,1314,TP
NZ_CP009187.1_1778538,294.1439,490.2398,510,TP
NZ_CP009187.1_1790283,1118.5383,1864.2305,1050,TP
NZ_CP009187.1_1791333,54.4589,90.7648,240,TP
NZ_CP009187.1_1798293,457.3296,762.2159,759,TP
NZ_CP009187.1_1802034,431.8841,719.8068,633,TP
NZ_CP009187.1_1804038,425.1599,708.5998,813,TP
NZ_CP009187.1_1805652,314.8297,524.7162,348,TP
NZ_CP009187.1_1806180,942.2172,1570.3621,1083,TP
NZ_CP009187.1_1807902,1298.1973,2163.6621,1551,TP
NZ_CP009187.1_1810239,624.3528,1040.5880,819,TP
NZ_CP009187.1_1813170,772.3609,1287.2682,1407,TP
NZ_CP009187.1_1815252,155.1847,258.6411,441,TP
NZ_CP009187.1_1816188,1868.1134,3113.5222,1419,TP
NZ_CP009187.1_1828179,577.3967,962.3279,618,TP
NZ_CP009187.1_1837011,2429.9502,4049.9170,2160,TP
NZ_CP009187.1_1842450,369.1056,615.1760,441,TP
NZ_CP009187.1_1843740,3929.7441,6549.5732,2919,TP
NZ_CP009187.1_1859757,2152.6304,3587.7173,2496,TP
NZ_CP009187.1_1866630,1472.1234,2453.5391,1215,TP
NZ_CP009187.1_1869921,771.8315,1286.3857,924,TP
NZ_CP009187.1_1875303,6919.1538,11531.9229,6381,TP
NZ_CP009187.1_1886487,832.1574,1386.9290,1533,TP
NZ_CP009187.1_1896474,99.5490,165.9149,393,TP
NZ_CP009187.1_1902396,529.6985,882.8309,903,TP
NZ_CP009187.1_1913601,1033.6005,1722.6674,1275,TP
NZ_CP009187.1_1916697,904.2052,1507.0087,1062,TP
NZ_CP009187.1_1917939,545.9203,909.8672,807,TP
NZ_CP009187.1_1923828,1549.3398,2582.2329,1761,TP
NZ_CP009187.1_1926201,684.5112,1140.8521,936,TP
NZ_CP009187.1_1936452,803.1552,1338.5919,864,TP
NZ_CP009187.1_1938837,440.0302,733.3837,765,TP
NZ_CP009187.1_1941852,535.0793,891.7989,813,TP
NZ_CP009187.1_1944405,273.2519,455.4199,351,TP
NZ_CP009187.1_1951851,1249.3674,2082.2791,1386,TP
NZ_CP009187.1_1967916,147.6633,246.1054,249,TP
NZ_CP009187.1_1972137,970.6920,1617.8199,1431,TP
NZ_CP009187.1_1993254,996.2059,1660.3431,1407,TP
NZ_CP009187.1_2000073,141.5542,235.9236,360,TP
NZ_CP009187.1_2000613,1329.2489,2215.4148,1857,TP
NZ_CP009187.1_2003958,1339.5208,2232.5344,1206,TP
NZ_CP009187.1_2007831,1100.1377,1833.5627,1341,TP
NZ_CP009187.1_2014698,392.6741,654.4568,564,TP
NZ_CP009187.1_2025300,432.3421,720.5701,1098,TP
NZ_CP009187.1_2026476,156.4025,260.6709,300,TP
NZ_CP009187.1_2032239,1072.0316,1786.7194,1512,TP
NZ_CP009187.1_2035482,573.2840,955.4733,1221,TP
NZ_CP009187.1_2048385,709.1735,1181.9558,1212,TP
NZ_CP009187.1_2058273,365.0201,608.3668,687,TP
NZ_CP009187.1_2064798,1530.1283,2550.2139,1644,TP
NZ_CP009187.1_2069079,332.4527,554.0878,630,TP
NZ_CP009187.1_2071035,449.9932,749.9886,879,TP
NZ_CP009187.1_2072595,298.6565,497.7608,489,TP
NZ_CP009187.1_2073942,464.2104,773.6840,495,TP
NZ_CP009187.1_2097960,1450.4243,2417.3738,1734,TP
NZ_CP009187.1_2100339,578.1996,963.6660,675,TP
NZ_CP009187.1_2105772,453.4860,755.8100,795,TP
NZ_CP009187.1_2106573,762.1865,1270.3108,1110,TP
NZ_CP009187.1_2109543,599.0741,998.4568,1041,TP
NZ_CP009187.1_2117346,1875.3302,3125.5503,2100,TP
NZ_CP009187.1_2129376,814.3954,1357.3256,1137,TP
NZ_CP009187.1_2140164,162.9443,271.5739,312,TP
NZ_CP009187.1_2140485,191.3094,318.8490,219,TP
NZ_CP009187.1_2147661,889.7292,1482.8820,1293,TP
NZ_CP009187.1_2160462,695.4489,1159.0815,1104,TP
NZ_CP009187.1_2171622,936.6777,1561.1294,864,TP
NZ_CP009187.1_2191026,1061.3363,1768.8938,1071,TP
NZ_CP009187.1_2193663,509.0809,848.4681,771,TP
NZ_CP009187.1_2195988,931.3722,1552.2870,1365,TP
NZ_CP009187.1_2200725,104.0308,173.3847,216,TP
NZ_CP009187.1_2201718,143.6913,239.4855,378,TP
NZ_CP009187.1_2204211,211.9447,353.2412,495,TP
NZ_CP009187.1_2209326,1093.2590,1822.0984,1278,TP
NZ_CP009187.1_2212854,1302.1050,2170.1748,1272,TP
NZ_CP009187.1_2226243,862.5856,1437.6426,1677,TP
NZ_CP009187.1_2231025,64.9966,108.3276,429,TP
NZ_CP009187.1_2231679,151.2400,252.0666,540,TP
NZ_CP009187.1_2233722,70.5189,117.5315,258,TP
NZ_CP009187.1_2263425,321.7792,536.2986,576,TP
NZ_CP009187.1_2265279,448.1758,746.9597,720,TP
NZ_CP009187.1_2281293,190.6005,317.6675,324,TP
NZ_CP009187.1_2291268,316.6920,527.8199,657,TP
NZ_CP009187.1_2320830,110.8421,184.7368,234,TP
NZ_CP009187.1_2340870,695.7349,1159.5581,945,TP
NZ_CP009187.1_2344410,793.4332,1322.3885,1770,TP
NZ_CP009187.1_2376570,280.9871,468.3118,570,TP
NZ_CP009187.1_2378385,488.7718,814.6197,837,TP
NZ_CP009187.1_2381070,854.1303,1423.5505,1422,TP
NZ_CP009187.1_2388615,997.7252,1662.8754,1470,TP
NZ_CP009187.1_2398719,734.1592,1223.5988,1074,TP
NZ_CP009187.1_2402976,505.9201,843.2001,1059,TP
NZ_CP009187.1_2448159,2413.4929,4022.4880,1803,TP
NZ_CP009187.1_2457552,543.1682,905.2802,843,TP
NZ_CP009187.1_2472492,319.9806,533.3010,750,TP
NZ_CP009187.1_2483625,658.1439,1096.9064,906,TP
NZ_CP009187.1_2485272,731.9822,1219.9703,936,TP
NZ_CP009187.1_2507145,266.8258,444.7097,492,TP
NZ_CP009187.1_2509440,404.6121,674.3534,816,TP
NZ_CP009187.1_2527983,206.1781,343.6302,504,TP
NZ_CP009187.1_2533329,398.2559,663.7598,636,TP
NZ_CP009187.1_2540103,1117.2021,1862.0035,1287,TP
NZ_CP009187.1_2555940,63.3955,105.6591,195,TP
NZ_CP009187.1_2556144,933.3898,1555.6495,1296,TP
NZ_CP009187.1_2559738,2631.5237,4385.8726,1593,TP
NZ_CP009187.1_2563173,424.9869,708.3115,855,TP
NZ_CP009187.1_2584485,124.9578,208.2630,270,TP
NZ_CP009187.1_2589696,808.0783,1346.7971,825,TP
NZ_CP009187.1_2600730,681.5775,1135.9624,1149,TP
NZ_CP009187.1_2605107,1791.1573,2985.2622,1647,TP
NZ_CP009187.1_2614692,2190.9646,3651.6077,2889,TP
NZ_CP009187.1_2641245,215.2833,358.8055,408,TP
NZ_CP009187.1_2655264,149.1236,248.5393,318,TP
NZ_CP009187.1_2677665,477.6500,796.0833,984,TP
NZ_CP009187.1_2680764,1150.9827,1918.3044,1254,TP
NZ_CP009187.1_2688009,2162.4172,3604.0286,1932,TP
NZ_CP009187.1_2710074,184.9791,308.2985,261,TP
NZ_CP009187.1_2719596,605.2787,1008.7979,1047,TP
NZ_CP009187.1_2726805,305.4257,509.0428,534,TP
NZ_CP009187.1_2736708,66.1650,110.2750,279,TP
NZ_CP009187.1_2759778,494.3598,823.9330,909,TP
NZ_CP009187.1_2768985,3403.6462,5672.7437,2586,TP
NZ_CP009187.1_2773563,1190.4443,1984.0739,1641,TP
NZ_CP009187.1_2775567,211.3402,352.2336,717,TP
NZ_CP009187.1_2807277,372.4395,620.7324,753,TP
NZ_CP009187.1_2808309,264.7333,441.2221,426,TP
NZ_CP009187.1_2824677,525.7767,876.2944,807,TP
NZ_CP009187.1_2851314,146.7435,244.5724,402,TP
NZ_CP009187.1_2882289,612.0776,1020.1294,1050,TP
NZ_CP009187.1_2886453,3723.1006,6205.1675,3342,TP
NZ_CP009187.1_2894511,259.5806,432.6344,390,TP
NZ_CP009187.1_2899338,594.6063,991.0104,882,TP
NZ_CP009187.1_2921550,1409.7180,2349.5300,1632,TP
NZ_CP009187.1_2928387,1700.7185,2834.5308,1572,TP
NZ_CP009187.1_2930343,208.2585,347.0976,441,TP
NZ_CP009187.1_2955162,78.9450,131.5750,258,TP
NZ_CP009187.1_2965938,357.2352,595.3919,459,TP
NZ_CP009187.1_2966532,184.0591,306.7651,381,TP
NZ_CP009187.1_2982096,136.7795,227.9659,255,TP
NZ_CP009187.1_2985282,263.0441,438.4068,471,TP
NZ_CP009187.1_2989290,1035.4623,1725.7704,1302,TP
NZ_CP009187.1_3000165,273.8463,456.4105,444,TP
NZ_CP009187.1_3010023,726.4652,1210.7753,663,TP
NZ_CP009187.1_3014172,110.0990,183.4983,486,TP
NZ_CP009187.1_3016857,743.9487,1239.9146,798,TP
NZ_CP009187.1_3025440,1300.2175,2167.0291,1407,TP
NZ_CP009187.1_3034908,1019.4506,1699.0842,1194,TP
NZ_CP009187.1_3053232,439.0880,731.8134,450,TP
NZ_CP009187.1_3082812,170.8040,284.6733,558,TP
NZ_CP009187.1_3115407,202.2663,337.1105,312,TP
NZ_CP009187.1_3116817,1212.6407,2021.0679,1410,TP
NZ_CP009187.1_3162267,1410.9465,2351.5774,1848,TP
NZ_CP009187.1_3164151,706.6001,1177.6667,1041,TP
NZ_CP009187.1_3165204,1093.3961,1822.3268,1380,TP
NZ_CP009187.1_3166683,1095.9020,1826.5033,1119,TP
NZ_CP009187.1_3183381,162.5955,270.9925,444,TP
NZ_CP009187.1_3184662,70.3964,117.3274,192,TP
NZ_CP009187.1_3187029,393.8252,656.3753,582,TP
NZ_CP009187.1_3187710,160.9810,268.3016,267,TP
NZ_CP009187.1_3193392,279.1373,465.2289,759,TP
NZ_CP009187.1_3202419,984.6286,1641.0476,978,TP
NZ_CP009187.1_3226434,1246.2993,2077.1655,1809,TP
NZ_CP009187.1_3243696,1022.8575,1704.7626,1752,TP
NZ_CP009187.1_3255684,8492.2402,14153.7334,6567,TP
NZ_CP009187.1_3274071,360.6133,601.0222,831,TP
NZ_CP009187.1_3304440,753.8168,1256.3613,813,TP
NZ_CP009187.1_3308667,269.5698,449.2829,732,TP
NZ_CP009187.1_3326100,910.8652,1518.1086,849,TP
NZ_CP009187.1_3339117,420.7166,701.1943,645,TP
